epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,4627.71,0.93497,0.61364,1.06652,0.99838,1,0.995,0.77774,0.84429,0.50237,0.92399,0.003664,0.003664,0.003664
66,4684.29,0.99804,0.74572,1.199,0.9984,1,0.995,0.74531,0.95127,0.48456,0.95936,0.003565,0.003565,0.003565
67,4749.54,0.89924,0.64136,1.0397,0.99859,1,0.995,0.74167,1.00586,0.47773,0.98789,0.003466,0.003466,0.003466
68,4813.94,0.96066,0.65255,1.04613,0.99757,1,0.995,0.74736,0.91038,0.47962,0.96479,0.003367,0.003367,0.003367
69,4881.46,0.90535,0.61088,1.05694,0.99847,1,0.995,0.73763,0.95202,0.47624,0.98366,0.003268,0.003268,0.003268
70,4950.34,0.92031,0.63436,1.05247,0.99865,1,0.995,0.74451,1.00592,0.50059,1.00249,0.003169,0.003169,0.003169
71,5016.81,0.92116,0.61646,1.04217,0.99852,1,0.995,0.71936,1.08267,0.49831,1.03318,0.00307,0.00307,0.00307
72,5091,0.88696,0.71575,1.10706,0.9982,1,0.995,0.74162,0.9402,0.46622,0.96516,0.002971,0.002971,0.002971
73,5149.95,0.88287,0.57264,1.01299,0.99833,1,0.995,0.73638,0.99195,0.48074,0.98368,0.002872,0.002872,0.002872
74,5212.76,0.85036,0.59619,1.02968,0.99851,1,0.995,0.73233,1.03081,0.47089,0.99994,0.002773,0.002773,0.002773
75,5277.59,0.89991,0.58406,1.03672,0.99868,1,0.995,0.79046,0.83096,0.42734,0.92697,0.002674,0.002674,0.002674
76,5336.85,0.92138,0.61065,1.03531,0.99863,1,0.995,0.76821,0.91326,0.46248,0.95765,0.002575,0.002575,0.002575
77,5402.37,0.88945,0.58495,1.04806,0.99869,1,0.995,0.71645,1.06935,0.46656,1.02967,0.002476,0.002476,0.002476
78,5472.62,0.92022,0.6012,1.07164,0.9986,1,0.995,0.72114,1.09847,0.49447,1.03705,0.002377,0.002377,0.002377
