epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,147.188,0.49742,0.40921,0.87575,0.99828,1,0.995,0.90859,0.48029,0.31056,0.80981,0.00406,0.00406,0.00406
62,148.442,0.46883,0.40453,0.85808,0.99822,1,0.995,0.88594,0.50438,0.32971,0.81702,0.003961,0.003961,0.003961
63,149.421,0.45942,0.41292,0.87833,0.9981,1,0.995,0.89176,0.49432,0.30989,0.81554,0.003862,0.003862,0.003862
64,150.452,0.49263,0.40035,0.86662,0.99805,1,0.995,0.90316,0.48308,0.31976,0.80516,0.003763,0.003763,0.003763
65,151.532,0.4575,0.3901,0.88178,0.99808,1,0.995,0.88986,0.5239,0.30269,0.82485,0.003664,0.003664,0.003664
66,152.766,0.46058,0.38445,0.87644,0.99771,1,0.995,0.88653,0.47861,0.29731,0.80186,0.003565,0.003565,0.003565
67,153.954,0.46433,0.38274,0.85304,0.9977,1,0.995,0.89333,0.48042,0.29988,0.803,0.003466,0.003466,0.003466
68,155.109,0.44946,0.38446,0.85797,0.99783,1,0.995,0.89343,0.47423,0.29084,0.80355,0.003367,0.003367,0.003367
69,156.167,0.40775,0.36114,0.841,0.99791,1,0.995,0.896,0.45544,0.29538,0.79155,0.003268,0.003268,0.003268
70,157.343,0.47204,0.39462,0.8805,0.99774,1,0.995,0.90274,0.45023,0.28804,0.78888,0.003169,0.003169,0.003169
71,158.36,0.4219,0.38104,0.85457,0.99702,1,0.995,0.90692,0.4635,0.3097,0.79714,0.00307,0.00307,0.00307
72,159.564,0.43214,0.36583,0.86216,0.99663,1,0.995,0.90258,0.46431,0.2991,0.80056,0.002971,0.002971,0.002971
73,160.665,0.43676,0.3784,0.86318,0.99743,1,0.995,0.90656,0.45527,0.30032,0.7964,0.002872,0.002872,0.002872
74,161.678,0.4341,0.38192,0.86133,0.99804,1,0.995,0.91446,0.4674,0.30807,0.7958,0.002773,0.002773,0.002773
75,162.988,0.42639,0.37988,0.86236,0.99818,1,0.995,0.91185,0.46151,0.29067,0.793,0.002674,0.002674,0.002674
76,164.17,0.4318,0.35956,0.88309,0.99809,1,0.995,0.89077,0.49029,0.29966,0.79689,0.002575,0.002575,0.002575
77,165.294,0.47299,0.39124,0.88745,0.99808,1,0.995,0.90949,0.47732,0.29295,0.79248,0.002476,0.002476,0.002476
78,166.384,0.40696,0.33996,0.83423,0.99812,1,0.995,0.89633,0.46389,0.27644,0.79086,0.002377,0.002377,0.002377
79,167.379,0.40282,0.33754,0.85104,0.9982,1,0.995,0.91458,0.43812,0.26168,0.78433,0.002278,0.002278,0.002278
80,168.427,0.40882,0.34219,0.84602,0.99823,1,0.995,0.90859,0.43517,0.26121,0.78467,0.002179,0.002179,0.002179
81,169.628,0.43078,0.34126,0.84354,0.99822,1,0.995,0.91185,0.43169,0.26541,0.78333,0.00208,0.00208,0.00208
82,170.791,0.37554,0.33235,0.8315,0.99821,1,0.995,0.90654,0.4406,0.27661,0.78595,0.001981,0.001981,0.001981
83,171.814,0.40343,0.34669,0.83646,0.99822,1,0.995,0.91053,0.45204,0.2662,0.79193,0.001882,0.001882,0.001882
84,172.893,0.40043,0.33499,0.85532,0.99821,1,0.995,0.9099,0.46544,0.26098,0.79049,0.001783,0.001783,0.001783
85,173.9,0.39663,0.34071,0.84704,0.9982,1,0.995,0.90627,0.46138,0.26926,0.78886,0.001684,0.001684,0.001684
86,174.942,0.37516,0.33292,0.84443,0.99814,1,0.995,0.8997,0.46205,0.27527,0.78749,0.001585,0.001585,0.001585
87,176.004,0.40537,0.34207,0.85764,0.99818,1,0.995,0.90052,0.46385,0.26369,0.79105,0.001486,0.001486,0.001486
88,177.112,0.39492,0.334,0.83461,0.99818,1,0.995,0.90023,0.46991,0.26089,0.79295,0.001387,0.001387,0.001387
89,178.383,0.38904,0.34016,0.85728,0.99817,1,0.995,0.91179,0.45887,0.25728,0.7896,0.001288,0.001288,0.001288
90,179.423,0.38584,0.32277,0.84002,0.99819,1,0.995,0.89925,0.46021,0.255,0.78846,0.001189,0.001189,0.001189
91,195.229,0.3269,0.29658,0.80023,0.99813,1,0.995,0.89691,0.45196,0.26794,0.78411,0.00109,0.00109,0.00109
92,206.837,0.32894,0.29432,0.79813,0.99816,1,0.995,0.90311,0.45574,0.26858,0.78538,0.000991,0.000991,0.000991
93,211.221,0.32771,0.30833,0.79251,0.99816,1,0.995,0.904,0.45249,0.26093,0.78402,0.000892,0.000892,0.000892
94,217.211,0.31209,0.29176,0.82387,0.9981,1,0.995,0.90957,0.43798,0.26084,0.7817,0.000793,0.000793,0.000793
95,223.615,0.32176,0.30387,0.79023,0.99804,1,0.995,0.91984,0.43903,0.24966,0.78254,0.000694,0.000694,0.000694
96,228.355,0.33165,0.29418,0.7967,0.9981,1,0.995,0.92097,0.44654,0.24827,0.78402,0.000595,0.000595,0.000595
97,232.772,0.30681,0.27716,0.79211,0.99815,1,0.995,0.9008,0.44517,0.25263,0.78399,0.000496,0.000496,0.000496
98,234.242,0.30987,0.27756,0.79554,0.99822,1,0.995,0.90614,0.44202,0.24996,0.78457,0.000397,0.000397,0.000397
99,236.749,0.30706,0.28655,0.77163,0.99824,1,0.995,0.91366,0.44228,0.24949,0.78518,0.000298,0.000298,0.000298
100,239.897,0.30826,0.28895,0.80268,0.99824,1,0.995,0.91335,0.443,0.24679,0.78578,0.000199,0.000199,0.000199
